  id  | acts | expert_validated |                                                                title                                                                |                                                        author                                                        |                genre
------+------+------------------+-------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------+-------------------------------------
 5466 |    5 | t                | Alexandre le Grand                                                                                                                  | Racine (Jean)                                                                                                        | tragédie
 5469 |    5 | t                | Andromède                                                                                                                           | Corneille (Pierre)                                                                                                   | tragédie
 5475 |    5 | t                | Agésilas                                                                                                                            | Corneille (Pierre)                                                                                                   | tragédie
 5486 |    5 | t                | Attila, roi des Huns                                                                                                                | Corneille (Pierre)                                                                                                   | tragédie
 5489 |    5 | t                | Bellérophon                                                                                                                         | Quinault (Philippe)                                                                                                  | tragédie
 5493 |    5 | t                | Camma, reine de Galatie                                                                                                             | Corneille (Thomas)                                                                                                   | tragédie
 5502 |    5 | t                | Coriolan                                                                                                                            | Abeille (Gaspard, abbé)                                                                                              | tragédie
 5506 |    5 | t                | Cosroès                                                                                                                             | Rotrou (Jean de) ; Ussé (Louis II Bernin de Valentinay d')                                                           | tragédie
 5507 |    5 | t                | Crispin musicien                                                                                                                    | Hauteroche (Noël Lebreton, sieur de)                                                                                 | comédie
 5511 |    5 | t                | Don Bertrand de Cigarral                                                                                                            | Corneille (Thomas)                                                                                                   | comédie
 5471 |    5 | t                | Annibal                                                                                                                             | Riupeirous (Théodore de)                                                                                             | tragédie
 5484 |    5 | t                | Aspar                                                                                                                               | Fontenelle (Bernard le Bouvier de)                                                                                   | tragédie
 5456 |    5 | t                | Aégiste                                                                                                                             | Séguineau (Mr) ; Pralard (René)                                                                                      | tragédie
 5494 |    3 | t                | Cartouche ou les Voleurs                                                                                                            | Legrand (Marc-Antoine)                                                                                               | comédie
 5503 |    5 | t                | Coriolan                                                                                                                            | Chaligny des Plaines (François de)                                                                                   | tragédie
 5488 |    3 | t                | Basile et Quitterie                                                                                                                 | Gaultier                                                                                                             | tragi-comédie
 5464 |    3 | t                | Alcibiade                                                                                                                           | Poisson (Philippe)                                                                                                   | comédie
 5500 |    5 | t                | Cléopâtre                                                                                                                           | La Chapelle (Jean de)                                                                                                | tragédie
 5461 |    5 | t                | Ajax                                                                                                                                | La Chapelle (Jean de)                                                                                                | tragédie
 5478 |    5 | t                | Arminius                                                                                                                            | Campistron (Jean Galbert de)                                                                                         | tragédie
 5465 |    5 | t                | Alcibiade                                                                                                                           | Campistron (Jean Galbert de)                                                                                         | tragédie
 5455 |    5 | t                | Adrien                                                                                                                              | Campistron (Jean Galbert de)                                                                                         | tragédie
 5460 |    5 | t                | Agrippa ou la mort d'Auguste                                                                                                        | Riupeirous (Théodore de)                                                                                             | tragédie
 5483 |    5 | t                | Artémire                                                                                                                            | Voltaire (François-Marie Arouet dit)                                                                                 | tragédie
 5468 |    1 | t                | Amour secret (L')                                                                                                                   | Poisson (Philippe)                                                                                                   | comédie
 5457 |    5 | t                | Aétius                                                                                                                              | Campistron (Jean Galbert de)                                                                                         | tragédie
 5454 |    5 | t                | Adherbal, roi de Numidie                                                                                                            | La Grange-Chancel (François-Joseph de)                                                                               | tragédie
 5490 |    5 | t                | Bradamante                                                                                                                          | Corneille (Thomas)                                                                                                   | tragédie
 5458 |    5 | t                | Agamemnon ou  La Mort d'Agamemnon                                                                                                   | Boyer (Claude, abbé) pseud : Pader d'Assézan                                                                         | tragédie
 5476 |    5 | t                | Ariarathe                                                                                                                           | Saint-Gilles Lenfant (de)                                                                                            | tragédie
   18 |    5 | t                | Démocrite amoureux                                                                                                                  | Regnard (Jean-François)                                                                                              | comédie
 5514 |    5 | t                | Édouard III                                                                                                                         | Gresset (Jean-Baptiste-Louis)                                                                                        | tragédie
 5479 |    5 | t                | Arrie et Pétus                                                                                                                      | Barbier (Marie-Anne)                                                                                                 | tragédie
 5462 |    5 | t                | Alceste                                                                                                                             | La Grange-Chancel (François-Joseph de)                                                                               | tragédie
 5501 |    5 | t                | Corésus et Callirhoé                                                                                                                | La Fosse (Antoine de)                                                                                                | tragédie
 5504 |    5 | t                | Cornélie mère des Gracques                                                                                                          | Barbier (Marie-Anne)                                                                                                 | tragédie
 5480 |    5 | t                | Artaxare                                                                                                                            | Pellegrin (Simon-Joseph)                                                                                             | tragédie
 5467 |    5 | t                | Amalasonte                                                                                                                          | Quinault (Philippe)                                                                                                  | tragédie
 5487 |    5 | t                | Bajazet premier                                                                                                                     | Pacarony (chevalier de)                                                                                              | tragédie
 5510 |    5 | t                | Démétrius                                                                                                                           | Aubry (Jean-Baptiste Aubry des Carrières, dit)                                                                       | tragédie
 5505 |    5 | t                | Cornélie vestale                                                                                                                    | Hénault (Charles-Jean-François)                                                                                      | tragédie
 5497 |    3 | t                | Céphale et Procris                                                                                                                  | Dancourt (Florent Carton dit)                                                                                        | comédie
 5509 |    1 | t                | Danaé ou Jupiter Crispin                                                                                                            | La Font (Joseph de)                                                                                                  | comédie
 5512 |    5 | t                | Don César Ursin                                                                                                                     | Lesage (Alain-René)                                                                                                  | comédie
 5508 |    5 | t                | Cyrus                                                                                                                               | Danchet (Antoine)                                                                                                    | tragédie
 5492 |    5 | t                | Callisthène                                                                                                                         | Piron (Alexis)                                                                                                       | tragédie
 5517 |    5 | t                | Érigone                                                                                                                             | La Grange-Chancel (François-Joseph de)                                                                               | tragédie
 5495 |    5 | t                | Cassius et Victorinus martyrs                                                                                                       | La Grange-Chancel (François-Joseph de)                                                                               | tragédie
 5482 |    5 | t                | Artaxerce                                                                                                                           | Deschamps (François-Michel-Chrétien)                                                                                 | tragédie
 5498 |    5 | t                | Childéric                                                                                                                           | Morand (Pierre de)                                                                                                   | tragédie
 5453 |    3 | t                | Achille dans l'île de Scyros                                                                                                        | Guyot de Merville (Michel)                                                                                           | comédie héroïque
 5519 |    1 | t                | Ésope au Parnasse                                                                                                                   | Pesselier (Charles-Étienne)                                                                                          | comédie
 5496 |    5 | t                | Caton d'Utique                                                                                                                      | Deschamps (François-Michel-Chrétien)                                                                                 | tragédie
 5472 |    5 | t                | Antigone                                                                                                                            | Boyer (Claude, abbé) pseud : Pader d'Assézan                                                                         | tragédie
 5538 |    5 | t                | Amant indiscret ou le Maître étourdi (L')                                                                                           | Quinault (Philippe)                                                                                                  | comédie
 5547 |    1 | t                | Avocat sans étude (L')                                                                                                              | Rosimond (Claude Rose, sieur de)                                                                                     | comédie
 5553 |    5 | t                | Écolier de Salamanque ou les Généreux ennemis (L')                                                                                  | Scarron (Paul)                                                                                                       | tragi-comédie
 5571 |    5 | f                | Inconnu (L')                                                                                                                        | Corneille (Thomas)                                                                                                   | comédie
 5561 |    5 | t                | Héritier ridicule ou la Dame intéressée (L')                                                                                        | Scarron (Paul)                                                                                                       | comédie
 5574 |    1 | t                | Ombre de Molière (L')                                                                                                               | Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)                                                              | comédie
 5537 |    1 | t                | Amant de sa femme ou la Rivale d'elle-même (L')                                                                                     | Boissy (Louis de)                                                                                                    | comédie
 5558 |    1 | t                | Envieux ou la Critique du Philosophe marié (L')                                                                                     | Destouches (Philippe Néricault dit)                                                                                  | comédie
 5578 |    3 | t                | Opiniâtre (L')                                                                                                                      | Brueys (David-Augustin de)                                                                                           | comédie
 5545 |    1 | t                | Assemblée des comédiens (L')                                                                                                        | Procope-Couteaux (Michel)                                                                                            | prologue
 5548 |    1 | t                | Éclipse (L')                                                                                                                        | Dancourt (Florent Carton dit)                                                                                        | comédie
 5566 |    5 | t                | Impatient (L')                                                                                                                      | Boissy (Louis de)                                                                                                    | comédie
 5568 |    2 | t                | Impromptu de la folie (L')                                                                                                          | Legrand (Marc-Antoine)                                                                                               | ambigu-comique
 5567 |    5 | t                | Impertinent malgré lui (L')                                                                                                         | Boissy (Louis de)                                                                                                    | comédie
 5560 |    1 | t                | Été des coquettes (L')                                                                                                              | Dancourt (Florent Carton dit)                                                                                        | comédie
 5525 |    5 | t                | Hercule                                                                                                                             | La Tuillerie (Jean-François Juvenon de La Tuillerie, dit)                                                            | tragédie
 5516 |    5 | t                | Amours de Diane et d'Endymion (Les) ou Endymion                                                                                     | Gilbert (Gabriel)                                                                                                    | tragédie
 5528 |    1 | t                | Héroïne (L')                                                                                                                        | Anonyme                                                                                                              | comédie
 5576 |    1 | t                | Opérateur (L')                                                                                                                      | Anonyme                                                                                                              | comédie
 5580 |    5 | t                | Usurier (L')                                                                                                                        | Corneille (Thomas) ; Donneau de Vizé (Jean)                                                                          | comédie
 5523 |    5 | t                | Géta                                                                                                                                | Péchantrés (Nicolas de)                                                                                              | tragédie
 5550 |    3 | t                | École des amants (L')                                                                                                               | Jolly (François-Antoine)                                                                                             | comédie
 5559 |    5 | t                | Épreuve dangereuse (L')                                                                                                             | Anonyme                                                                                                              | comédie
 5535 |    5 | t                | Jugurtha, roi de Numidie                                                                                                            | Péchantrés (Nicolas de)                                                                                              | tragédie
 5570 |    1 | t                | Impromptu de garnison (L')                                                                                                          | Dancourt (Florent Carton dit)                                                                                        | comédie
 5575 |    1 | t                | Opéra de village (L')                                                                                                               | Dancourt (Florent Carton dit)                                                                                        | comédie
 5522 |    5 | t                | Germanicus                                                                                                                          | Pradon (Nicolas)                                                                                                     | tragédie
 5556 |    1 | t                | Entêté (L')                                                                                                                         | Anonyme                                                                                                              | comédie
 5534 |    5 | t                | Judith                                                                                                                              | Boyer (Claude, abbé)                                                                                                 | tragédie
 5546 |    5 | t                | Aventurière (L')                                                                                                                    | Donneau de Vizé (Jean)                                                                                               | comédie
 5521 |    5 | t                | Gabinie                                                                                                                             | Brueys (David-Augustin de)                                                                                           | tragédie
 5557 |    1 | t                | Entêtement ridicule (L')                                                                                                            | Anonyme                                                                                                              | comédie
 5531 |    1 | t                | Joconde                                                                                                                             | Fagan (Barthélemy-Christophe)                                                                                        | comédie
 5563 |    5 | t                | Heureux échange (L')                                                                                                                | Anonyme                                                                                                              | comédie
 5577 |    1 | t                | Opérateur Barry (L')                                                                                                                | Dancourt (Florent Carton dit)                                                                                        | comédie
 5520 |    1 | t                | Frontin gouverneur du château de Vertigililinguen                                                                                   | Anonyme                                                                                                              | comédie
  755 |    5 | f                | Inconséquent ou les Soubrettes (L')                                                                                                 | Laujon (Pierre)                                                                                                      | comédie
 5524 |    5 | t                | Habis                                                                                                                               | Gomez (Madeleine-Angélique de)                                                                                       | tragédie
 5569 |    1 | t                | Impromptu de Suresnes (L')                                                                                                          | Dancourt (Florent Carton dit)                                                                                        | comédie-ballet
 5543 |    1 | t                | Amour vengé (L')                                                                                                                    | La Font (Joseph de)                                                                                                  | comédie
 5555 |    1 | t                |  Belle orgueilleuse ou l'Enfant gâté (La)                                                                                           | Destouches (Philippe Néricault dit)                                                                                  | comédie
 5527 |    5 | t                | Hérode                                                                                                                              | Nadal (Augustin, abbé)                                                                                               | tragédie
 5539 |    1 | t                | Amant masqué (L')                                                                                                                   | Du Fresny (Charles)                                                                                                  | comédie
 5554 |    1 | t                | Effet de la prévention (L')                                                                                                         | Anonyme                                                                                                              | comédie
 5572 |    3 | t                | Italie galante ou les contes (L')                                                                                                   | La Motte (Antoine Houdar de)                                                                                         | ambigu-comique
 5541 |    3 | t                | Amante en tutelle (L')                                                                                                              | La Valette                                                                                                           | comédie
 5542 |    5 | t                | Amitié rivale (L')                                                                                                                  | Fagan (Barthélemy-Christophe)                                                                                        | comédie
 5536 |    1 | t                | Accommodement imprévu (L')                                                                                                          | La Grange-Chancel (François-Joseph de)                                                                               | comédie
 5549 |    3 | t                | École de l'hymen (L')                                                                                                               | Pellegrin (Simon-Joseph)                                                                                             | comédie
 5552 |    1 | t                | École du monde (L')                                                                                                                 | Voisenon (Claude-Henri de Fusée de)                                                                                  | dialogue
 5564 |    3 | f                | Homme à bonnes fortunes (L')                                                                                                        | Regnard (Jean-François)                                                                                              | comédie
 5533 |    5 | t                | Joseph                                                                                                                              | Genest (Charles-Claude)                                                                                              | tragédie
 5591 |    1 | t                | Critique de l'École des femmes (La)                                                                                                 | Molière (Jean-Baptiste Poquelin dit)                                                                                 | comédie
 5596 |    5 | t                | Devineresse ou les Faux enchantements  (La)                                                                                         | Corneille (Thomas) ; Donneau de Vizé (Jean)                                                                          | comédie
 5598 |    1 | t                | Dupe amoureuse (La)                                                                                                                 | Rosimond (Claude Rose, sieur de)                                                                                     | comédie
 5617 |    5 | t                | Jalouse d'elle-même (La)                                                                                                            | Boisrobert (François Le Métel de)                                                                                    | comédie
 5633 |    1 | t                | Noce de village (La)                                                                                                                | Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)                                                              | comédie
 5589 |    5 | f                | Comtesse d'Orgueil (La)                                                                                                             | Corneille (Thomas)                                                                                                   | comédie
 5590 |    1 | t                | Comtesse de Follenville (La)                                                                                                        | Carcavy (Charles-Alexandre, abbé)                                                                                    | comédie
 5582 |    5 | t                | Belle-mère (La)                                                                                                                     | Dancourt (Florent Carton dit)                                                                                        | comédie
 5585 |    3 | t                | Chasse du cerf (La)                                                                                                                 | Legrand (Marc-Antoine)                                                                                               | comédie-ballet
 5583 |    1 | t                | Boîte de Pandore (La)                                                                                                               | Poisson (Philippe)                                                                                                   | comédie
 5700 |    0 | t                | Le Laquais fille                                                                                                                    | Anonyme                                                                                                              | 0
 5588 |    1 | t                | Comète (La)                                                                                                                         | Fontenelle (Bernard le Bouvier de)                                                                                   | comédie
 5584 |    5 | t                | Cassette (La)                                                                                                                       | Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)                                                              | comédie
 5625 |    1 | t                | Mère ridicule (La)                                                                                                                  | Montfort                                                                                                             | comédie
 5627 |    5 | t                | Mort d'Alexandre (La)                                                                                                               | Louvet                                                                                                               | tragédie
 5628 |    5 | t                | Mort d'Othon (La)                                                                                                                   | Belin (François)                                                                                                     | tragédie
 5611 |    1 | t                | Folle enchère (La)                                                                                                                  | Dancourt (Florent Carton dit)                                                                                        | comédie
 5594 |    5 | t                | Dame à la mode ou la Suite de la coquette (La)                                                                                      | Dancourt (Florent Carton dit)                                                                                        | comédie
 5586 |    1 | t                | Chasse ridicule (La)                                                                                                                | Anonyme                                                                                                              | comédie
 5603 |    5 | t                | Femme d'intrigues (La)                                                                                                              | Dancourt (Florent Carton dit)                                                                                        | comédie
 5612 |    5 | t                | Fourbe (Le)                                                                                                                         | Le Noble (Eustache                                                                                                   | comédie
 5609 |    1 | t                | Foire de Bezons (La)                                                                                                                | Dancourt (Florent Carton dit)                                                                                        | comédie
 5610 |    1 | t                | Foire Saint-Germain (La)                                                                                                            | Dancourt (Florent Carton dit)                                                                                        | comédie
 5606 |    1 | t                | Fille médecin (La)                                                                                                                  | Anonyme                                                                                                              | comédie
 5619 |    1 | t                | Loterie (La)                                                                                                                        | Dancourt (Florent Carton dit)                                                                                        | comédie
 5616 |    1 | t                | Guinguette de la finance (La)                                                                                                       | Dancourt (Florent Carton dit)                                                                                        | comédie
 5620 |    5 | t                | Malade sans maladie (La)                                                                                                            | Du Fresny (Charles)                                                                                                  | comédie
 5622 |    1 | t                | Marquise imaginaire (La)                                                                                                            | Anonyme                                                                                                              | comédie
 5613 |    1 | t                | Française italienne (La)                                                                                                            | Legrand (Marc-Antoine)                                                                                               | comédie
 5634 |    1 | t                | Noce interrompue (La)                                                                                                               | Du Fresny (Charles)                                                                                                  | comédie
 5623 |    1 | t                | Matrone d'Éphèse (La)                                                                                                               | La Motte (Antoine Houdar de)                                                                                         | comédie
 5631 |    5 | t                | Mort de Néron (La)                                                                                                                  | Péchantrés (Nicolas de)                                                                                              | tragédie
 5632 |    5 | t                | Mort d'Alcide (La)                                                                                                                  | Dancourt (Florent Carton dit)                                                                                        | tragédie
 5599 |    5 | t                | Enfants de Paris (Les) ou Famille à la mode (La) ou Finette                                                                         | Dancourt (Florent Carton dit)                                                                                        | comédie
 5602 |    1 | t                | Fausse veuve ou le Jaloux sans jalousie (La)                                                                                        | Destouches (Philippe Néricault dit)                                                                                  | comédie
 5607 |    3 | t                | Fille supposée ou l'Héroïne de roman (La)                                                                                           | La Grange-Chancel (François-Joseph de)                                                                               | comédie
 5608 |    3 | t                | Fille valet (La)                                                                                                                    | Le neveu de l'abbé Abeille (Nicolas Abeille dit)                                                                     | comédie
 5618 |    5 | t                | Joueuse (La)                                                                                                                        | Du Fresny (Charles)                                                                                                  | comédie
 5593 |    1 | t                | Critique du Légataire universel (La)                                                                                                | Regnard (Jean-François)                                                                                              | comédie
 5604 |    1 | t                | Femme fille et veuve (La)                                                                                                           | Legrand (Marc-Antoine)                                                                                               | comédie
 5629 |    5 | t                | Mort d'Ulysse (La)                                                                                                                  | Pellegrin (Simon-Joseph)                                                                                             | tragédie
 5636 |    1 | t                | Provençale (La)                                                                                                                     | Anonyme                                                                                                              | comédie
 5643 |    1 | t                | Réunion des amours (La)                                                                                                             | Marivaux (Pierre de)                                                                                                 | comédie héroïque
